id,pregunta,respuesta_correcta,opcion_1,opcion_2,opcion_3,opcion_4
1,EN CUAL INSTRUCTIVO ESTA LA ACTIVIDAD "IDENTIFICAR LA RELACIÓN DEL SOLICITANTE CON EL PREDIO Y REVISAR LOS REQUISITOS DE LO ACREDITEN",INSTRUCTIVO CALIDAD DEL SOLICITANTE,INSTRUCTIVO CALIDAD DEL SOLICITANTE,INSTRUCTIVO RADICACIÓN MASIVA DE TRÁMITES NO INMEDIATOS RECIBIDOS POR CORRESPONDENCIA,INSTRUCTIVO GENERAR CERTIFICACIÓN CATASTRAL O CERTIFICADO INSCRIPCIÓN EN EL CENSO CATASTRAL,NINGUNA DE LAS ANTERIORES
2,SEGUN EL INSTRUCTIVO "GESTIÓN DE RADICACIONES PENDIENTES POR DOCUMENTOS, AUTOS DE ARCHIVO Y RECURSOS", CUAL ES EL NUMERO DE LA ACTIVIDAD TRANSFERENCIA AUTO DE ARCHIVO,206,206,120,207,46
3,EL EQUIPO DE NOTIFICACIONES O "ENTREGAS", EMPLEA PARA SU LABOR ESTOS DOS INSTRUCTIVOS:,INSTRUCTIVO NOTIFICACION ELECTRONICA E INSTRUCTIVO NOTIFICACIÓN PERSONAL – NOTIFICACIÓN POR AVISO - PUBLICACIÓN NOTIFICACIÓN POR AVISO,INSTRUCTIVO NOTIFICACION ELECTRONICA E INSTRUCTIVO NOTIFICACIÓN PERSONAL – NOTIFICACIÓN POR AVISO - PUBLICACIÓN NOTIFICACIÓN POR AVISO,INSTRUCTIVO CONTIGENCIA ATENCIÓN SIN SISTEMAS DE INFORMACIÓN E INSTRUCTIVO NOTIFICACIÓN POR AVISO,INSTRUCTIVO NOTIFICACIÓN PERSONAL E INSTRUCTIVO RADICACIÓN MASIVA DE TRÁMITES NO INMEDIATOS RECIBIDOS POR CORRESPONDENCIA,
4,EL INSTRUCTIVO CUYO OBJETIVO ES " ATENDER LAS RADICACIONES DEVUELTAS POR LAS ÁREAS TÉCNICAS CORRESPONDIENTES A TRÁMITES NO INMEDIATOS, REALIZANDO LAS MODIFICACIONES NECESARIAS EN EL SISTEMA, ADEMÁS REGISTRAR Y CLASIFICAR EL TIPO DE DEVOLUCIÓN PARA SEGUIMIENTO Y CONTROL." CORRESPONDE A:,INSTRUCTIVO GESTIÓN DE DEVOLUCIONES Y CORRECCIONES,INSTRUCTIVO GESTIÓN DE DEVOLUCIONES Y CORRECCIONES,INSTRUCTIVO GESTIÓN DE RADICACIONES PENDIENTES POR DOCUMENTOS, AUTOS DE ARCHIVO Y RECURSOS,INSTRUCTIVO CONTIGENCIA ATENCIÓN SIN SISTEMAS DE INFORMACIÓN E INSTRUCTIVO NOTIFICACIÓN POR AVISO,NINGUNA DE LAS ANTERIORES
5,LA ACTIVIDAD "ATENDER, ASESORAR Y CONOCER LA NECESIDAD DEL CLIENTE EN EL PUNTO DE VENTA Y ESCUCHAR CUÁL ES SU NECESIDAD FRENTE A LA ADQUISICIÓN DE UN PRODUCTO Y/O SERVICIO PARA LA COMPRA..." SE ENCUENTRA EN EL INSTRUCTIVO:,INSTRUCTIVO DE VENTA DIRECTA,INSTRUCTIVO DE VENTA DIRECTA,INSTRUCTIVO DE VENTA ACUERDOS COMERCIALES,INSTRUCTIVO DE FACTURACION,NINGUNA DE LAS ANTERIORES
6,CUANTOS FORMATOS SE ENCUENTRAN VIGENTES EN EL PROCESO DE "RELACIONAMIENTO ESTRATÉGICO"?,18,18,10,28,NINGUNA DE LAS ANTERIORES
7,SELECCIONE EL PROCESO AL CUAL PERTENCEN LA SPAC Y LA GCAC EN LA CADENA DE VALOR,RELACIONAMIENTO ESTRATÉGICO,RELACIONAMIENTO ESTRATÉGICO,GESTIÓN ESTRATEGICA DE PERSONAS,DIRECCIONAMIENTO ESTRATEGICO,NINGUNA DE LAS ANTERIORES
8,EL FORMATO VIGENTE DE "OFICIO" ES:,GDOC-07-FR-01 V.1,GDOC-07-FR-01 V.1,GDOC-04-FR-01 V1,GDOC-07-FR-01 V.2,NINGUNA DE LAS ANTERIORES
9,¿CUÁL ES EL OBJETIVO DEL PROCEDIMIENTO REES-PR-04?,ATENDER, RADICAR Y DAR RESPUESTA A SOLICITUDES RELACIONADAS CON TRÁMITES CATASTRALES.,ATENDER, RADICAR Y DAR RESPUESTA A SOLICITUDES RELACIONADAS CON TRÁMITES CATASTRALES.,GESTIONAR LA SATISFACCIÓN DE LOS CIUDADANOS,MEDIR LA CALIDAD DE LOS CANALES DE ATENCIÓN.,GESTIONAR LAS COMUNICACIONES OFICIALES.
10,CUÁL ES EL DOCUMENTO GUIA PARA RECIBIR, TRASLADAR, ASIGNAR, ATENDER Y DAR RESPUESTA A LAS PETICIONES, QUEJAS, RECLAMOS, SUGERENCIAS, DENUNCIAS, FELICITACIONES Y/O SOLICITUD DE INFORMACIÓN, PRESENTADAS POR LOS USUARIOS EN LOS CANALES DISPUESTOS POR LA UAECD.,PROCEDIMIENTO ATENCIÓN PQRS,PROCEDIMIENTO ATENCIÓN PQRS,INSTRUCTIVO GESTIÓN DE BTE,DOCUMENTO TECNICO DE ATENCION PQRS,NINGUNA DE LAS ANTERIORES
